cve,event_type,event_date,source,raw_date_field
CVE-2021-27860,KEV,2022-01-10,KEV,dateAdded
CVE-2021-36260,KEV,2022-01-10,KEV,dateAdded
CVE-2020-11978,KEV,2022-01-18,KEV,dateAdded
CVE-2020-13671,KEV,2022-01-18,KEV,dateAdded
CVE-2020-13927,KEV,2022-01-18,KEV,dateAdded
CVE-2020-14864,KEV,2022-01-18,KEV,dateAdded
CVE-2021-21315,KEV,2022-01-18,KEV,dateAdded
CVE-2021-21975,KEV,2022-01-18,KEV,dateAdded
CVE-2021-22991,KEV,2022-01-18,KEV,dateAdded
CVE-2021-25296,KEV,2022-01-18,KEV,dateAdded
CVE-2021-25297,KEV,2022-01-18,KEV,dateAdded
CVE-2021-25298,KEV,2022-01-18,KEV,dateAdded
CVE-2021-32648,KEV,2022-01-18,KEV,dateAdded
CVE-2021-33766,KEV,2022-01-18,KEV,dateAdded
CVE-2021-40870,KEV,2022-01-18,KEV,dateAdded
CVE-2006-1547,KEV,2022-01-21,KEV,dateAdded
CVE-2012-0391,KEV,2022-01-21,KEV,dateAdded
CVE-2018-8453,KEV,2022-01-21,KEV,dateAdded
CVE-2021-35247,KEV,2022-01-21,KEV,dateAdded
CVE-2014-1776,KEV,2022-01-28,KEV,dateAdded
CVE-2014-6271,KEV,2022-01-28,KEV,dateAdded
CVE-2014-7169,KEV,2022-01-28,KEV,dateAdded
CVE-2017-5689,KEV,2022-01-28,KEV,dateAdded
CVE-2020-0787,KEV,2022-01-28,KEV,dateAdded
CVE-2020-5722,KEV,2022-01-28,KEV,dateAdded
CVE-2021-20038,KEV,2022-01-28,KEV,dateAdded
CVE-2022-22587,KEV,2022-01-28,KEV,dateAdded
CVE-2022-21882,KEV,2022-02-04,KEV,dateAdded
CVE-2014-4404,KEV,2022-02-10,KEV,dateAdded
CVE-2015-1130,KEV,2022-02-10,KEV,dateAdded
CVE-2015-1635,KEV,2022-02-10,KEV,dateAdded
CVE-2015-2051,KEV,2022-02-10,KEV,dateAdded
CVE-2016-3088,KEV,2022-02-10,KEV,dateAdded
CVE-2017-0144,KEV,2022-02-10,KEV,dateAdded
CVE-2017-0145,KEV,2022-02-10,KEV,dateAdded
CVE-2017-0262,KEV,2022-02-10,KEV,dateAdded
CVE-2017-0263,KEV,2022-02-10,KEV,dateAdded
CVE-2017-10271,KEV,2022-02-10,KEV,dateAdded
CVE-2017-8464,KEV,2022-02-10,KEV,dateAdded
CVE-2017-9791,KEV,2022-02-10,KEV,dateAdded
CVE-2018-1000861,KEV,2022-02-10,KEV,dateAdded
CVE-2020-0796,KEV,2022-02-10,KEV,dateAdded
CVE-2021-36934,KEV,2022-02-10,KEV,dateAdded
CVE-2022-22620,KEV,2022-02-11,KEV,dateAdded
CVE-2013-3906,KEV,2022-02-15,KEV,dateAdded
CVE-2014-1761,KEV,2022-02-15,KEV,dateAdded
CVE-2017-9841,KEV,2022-02-15,KEV,dateAdded
CVE-2018-15982,KEV,2022-02-15,KEV,dateAdded
CVE-2018-20250,KEV,2022-02-15,KEV,dateAdded
CVE-2018-8174,KEV,2022-02-15,KEV,dateAdded
CVE-2019-0752,KEV,2022-02-15,KEV,dateAdded
CVE-2022-0609,KEV,2022-02-15,KEV,dateAdded
CVE-2022-24086,KEV,2022-02-15,KEV,dateAdded
CVE-2022-23131,KEV,2022-02-22,KEV,dateAdded
CVE-2022-23134,KEV,2022-02-22,KEV,dateAdded
CVE-2014-6352,KEV,2022-02-25,KEV,dateAdded
CVE-2017-0222,KEV,2022-02-25,KEV,dateAdded
CVE-2017-8570,KEV,2022-02-25,KEV,dateAdded
CVE-2022-24682,KEV,2022-02-25,KEV,dateAdded
CVE-2002-0367,KEV,2022-03-03,KEV,dateAdded
CVE-2004-0210,KEV,2022-03-03,KEV,dateAdded
CVE-2008-2992,KEV,2022-03-03,KEV,dateAdded
CVE-2008-3431,KEV,2022-03-03,KEV,dateAdded
CVE-2009-1123,KEV,2022-03-03,KEV,dateAdded
CVE-2009-3129,KEV,2022-03-03,KEV,dateAdded
CVE-2010-0188,KEV,2022-03-03,KEV,dateAdded
CVE-2010-0232,KEV,2022-03-03,KEV,dateAdded
CVE-2010-3333,KEV,2022-03-03,KEV,dateAdded
CVE-2011-0611,KEV,2022-03-03,KEV,dateAdded
CVE-2011-1889,KEV,2022-03-03,KEV,dateAdded
CVE-2011-3544,KEV,2022-03-03,KEV,dateAdded
CVE-2012-0507,KEV,2022-03-03,KEV,dateAdded
CVE-2012-1535,KEV,2022-03-03,KEV,dateAdded
CVE-2012-1723,KEV,2022-03-03,KEV,dateAdded
CVE-2012-1856,KEV,2022-03-03,KEV,dateAdded
CVE-2012-4681,KEV,2022-03-03,KEV,dateAdded
CVE-2013-0632,KEV,2022-03-03,KEV,dateAdded
CVE-2013-0640,KEV,2022-03-03,KEV,dateAdded
CVE-2013-0641,KEV,2022-03-03,KEV,dateAdded
CVE-2013-1347,KEV,2022-03-03,KEV,dateAdded
CVE-2013-1675,KEV,2022-03-03,KEV,dateAdded
CVE-2013-3346,KEV,2022-03-03,KEV,dateAdded
CVE-2013-3897,KEV,2022-03-03,KEV,dateAdded
CVE-2013-5065,KEV,2022-03-03,KEV,dateAdded
CVE-2014-0496,KEV,2022-03-03,KEV,dateAdded
CVE-2014-4114,KEV,2022-03-03,KEV,dateAdded
CVE-2015-1642,KEV,2022-03-03,KEV,dateAdded
CVE-2015-1701,KEV,2022-03-03,KEV,dateAdded
CVE-2015-2387,KEV,2022-03-03,KEV,dateAdded
CVE-2015-2424,KEV,2022-03-03,KEV,dateAdded
CVE-2015-2545,KEV,2022-03-03,KEV,dateAdded
CVE-2015-2590,KEV,2022-03-03,KEV,dateAdded
CVE-2015-3043,KEV,2022-03-03,KEV,dateAdded
CVE-2015-4902,KEV,2022-03-03,KEV,dateAdded
CVE-2015-5119,KEV,2022-03-03,KEV,dateAdded
CVE-2015-7645,KEV,2022-03-03,KEV,dateAdded
CVE-2016-0099,KEV,2022-03-03,KEV,dateAdded
CVE-2016-1019,KEV,2022-03-03,KEV,dateAdded
CVE-2016-4117,KEV,2022-03-03,KEV,dateAdded
CVE-2016-5195,KEV,2022-03-03,KEV,dateAdded
CVE-2016-7193,KEV,2022-03-03,KEV,dateAdded
CVE-2016-7262,KEV,2022-03-03,KEV,dateAdded
CVE-2016-7855,KEV,2022-03-03,KEV,dateAdded
CVE-2016-8562,KEV,2022-03-03,KEV,dateAdded
CVE-2017-0001,KEV,2022-03-03,KEV,dateAdded
CVE-2017-0261,KEV,2022-03-03,KEV,dateAdded
CVE-2017-11292,KEV,2022-03-03,KEV,dateAdded
CVE-2017-11826,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12231,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12232,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12233,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12234,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12235,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12237,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12238,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12240,KEV,2022-03-03,KEV,dateAdded
CVE-2017-12319,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6627,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6663,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6736,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6737,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6738,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6739,KEV,2022-03-03,KEV,dateAdded
CVE-2017-6740,KEV,2022-03-03,KEV,dateAdded
